Seed1	Seed2	Iterations	Most_Frequent	Frequency
3311	2211	123	8911	2
3311	2311	77	7482	2
3311	2411	153	7253	2
3311	2511	44	3000	2
3311	2611	88	5872	2
3311	2711	91	6537	2
3311	2811	179	4687	2
3311	2911	62	4974	2
3311	3011	40	7792	2
3311	3111	35	3543	2
3311	3211	67	7500	2
3311	3311	202	1188	2
3311	3411	63	5335	2
3311	3511	145	4166	2
3311	3611	167	2450	2
3311	3711	172	9400	2
3311	3811	62	0496	2
3311	3911	120	0422	2
3311	4011	119	9026	2
3311	4111	59	1156	2
3311	4211	114	9152	2
3311	4311	194	3106	2
3311	4411	75	6222	2
3311	4511	76	2579	2
3311	4611	263	7954	2
3311	4711	26	6976	2
3311	4811	149	9254	2
3311	4911	212	9113	2
3311	5011	266	7034	2
3311	5111	133	1293	2
3311	5211	195	7049	2
3311	5311	66	3401	2
3311	5411	70	9505	2
3311	5511	89	1707	2
3411	1111	111	0000	1
3411	1211	177	6654	2
3411	1311	229	1964	2
3411	1411	146	5601	2
3411	1511	210	8956	2
3411	1611	259	0330	2
3411	1711	122	0122	2
3411	1811	91	7846	1
3411	1911	227	6750	2
3411	2011	146	4117	2
3411	2111	222	0958	2
3411	2211	166	5325	2
3411	2311	112	2712	2
3411	2411	149	4172	2
3411	2511	236	1600	2
3411	2611	91	6147	2
3411	2711	74	7190	2
3411	2811	119	4515	2
3411	2911	61	3200	2
3411	3011	65	7225	2
3411	3111	94	3466	2
3411	3211	136	0707	2
3411	3311	121	6380	2
3411	3411	167	3956	2
3411	3511	153	6828	2
3411	3611	228	9974	2
